addTwoArrays.dot,-1
arrayDiv.dot,-1
binarySearch.dot,-1
bitwiseAnd.dot,-1
bitwiseNot.dot,-1
bitwiseOr.dot,-1
bitwiseXor.dot,-1
bubbleSort.dot,1
calCartesianProduct.dot,1
calEucDist.dot,-1
calGeometricMean.dot,1
calMagnitude.dot,1
calManhattanDist.dot,-1
calMean.dot,1
calSum.dot,1
calVariance.dot,1
calWeightedAverage.dot,-1
copyArray.dot,-1
countK.dot,1
countNonZeros.dot,1
countZeros.dot,1
decArray.dot,-1
dotProduct.dot,-1
elementwiseEqual.dot,-1
elementwiseMax.dot,-1
elementwiseMin.dot,-1
elementwiseNotEqual.dot,-1
equalTolerance.dot,-1
findDiff.dot,-1
findEqual.dot,-1
findMax2.dot,-1
findMax.dot,1
findMedian.dot,1
findMin.dot,1
heapSort.dot,1
insertionSort.dot,1
linearSearch.dot,-1
meanAbsError.dot,-1
quickSort.dot,1
reverse.dot,-1
selectionSort.dot,1
selectK.dot,1
setMinValue.dot,-1
shellSort.dot,1
hammingDist.dot,-1
addTwoArrays_L_EQ_m1.dot,-1
arrayDiv_L_EQ_m1.dot,-1
binarySearch_L_EQ_m1.dot,-1
bitwiseAnd_L_EQ_m1.dot,-1
bitwiseNot_L_EQ_m1.dot,-1
bitwiseOr_L_EQ_m1.dot,-1
bitwiseXor_L_EQ_m1.dot,-1
bubbleSort_L_EQ_m1.dot,1
calCartesianProduct_L_EQ_m1.dot,1
calEucDist_L_EQ_m1.dot,-1
calGeometricMean_L_EQ_m1.dot,1
calMagnitude_L_EQ_m1.dot,1
calManhattanDist_L_EQ_m1.dot,-1
calMean_L_EQ_m1.dot,1
calSum_L_EQ_m1.dot,1
calVariance_L_EQ_m1.dot,1
calWeightedAverage_L_EQ_m1.dot,-1
copyArray_L_EQ_m1.dot,-1
countK_L_EQ_m1.dot,1
countNonZeros_L_EQ_m1.dot,1
countZeros_L_EQ_m1.dot,1
decArray_L_EQ_m1.dot,-1
dotProduct_L_EQ_m1.dot,-1
elementwiseEqual_L_EQ_m1.dot,-1
elementwiseMax_L_EQ_m1.dot,-1
elementwiseMin_L_EQ_m1.dot,-1
elementwiseNotEqual_L_EQ_m1.dot,-1
equalTolerance_L_EQ_m1.dot,-1
findDiff_L_EQ_m1.dot,-1
findEqual_L_EQ_m1.dot,-1
findMax2_L_EQ_m1.dot,-1
findMax_L_EQ_m1.dot,1
findMedian_L_EQ_m1.dot,1
findMin_L_EQ_m1.dot,1
heapSort_L_EQ_m1.dot,1
insertionSort_L_EQ_m1.dot,1
linearSearch_L_EQ_m1.dot,-1
meanAbsError_L_EQ_m1.dot,-1
quickSort_L_EQ_m1.dot,1
reverse_L_EQ_m1.dot,-1
selectionSort_L_EQ_m1.dot,1
selectK_L_EQ_m1.dot,1
setMinValue_L_EQ_m1.dot,-1
shellSort_L_EQ_m1.dot,1
hammingDist_L_EQ_m1.dot,-1
